Unnamed: 0,Drug,Recommendation,Rationale,Creatinine Clearance,Condition,ExStandardized
20,Hyoscyamine,Avoid,"Highly anticholinergic, uncertain effectivenes",,,HYOSCYAMINE
21,Scopolamine,Avoid,"Highly anticholinergic, uncertain effectivenes",,,SCOPOLAMINE
22,Hyoscine,Avoid,"Highly anticholinergic, uncertain effectivenes",,,SCOPOLAMINE
23,Fentonium,Avoid,"Highly anticholinergic, uncertain effectivenes",,,FENTONIUM
24,Methylatropine,Avoid,"Highly anticholinergic, uncertain effectivenes",,,HOMATROPINE METHYLBROMIDE
25,Butropium,Avoid,"Highly anticholinergic, uncertain effectivenes",,,BUTROPIUM
26,Clidinium/Chlordiazepoxide,Avoid,"Highly anticholinergic, uncertain effectivenes",,,CHLORDIAZEPOXIDE/CLIDINIUM
27,Dicyclomine/Homatropine (excludes opthalmic),Avoid,"Highly anticholinergic, uncertain effectivenes",,,DICYCLOMINE/HOMATROPINE
28,Methscopolamine,Avoid,"Highly anticholinergic, uncertain effectivenes",,,METHYLSCOPOLAMINE
29,Propantheline,Avoid,"Highly anticholinergic, uncertain effectivenes",,,PROPANTHELINE
30,"Dipyridamole, oral short acting",Avoid. Does not apply to the extended-release combination with aspirin,May cause orthostatic hypotension; more effective alternatives available; IV form acceptable for use in cardiac stress testing,,,DIPYRIDAMOLE
31,Nitrofurantoin ,Avoid if creatinine clearance <30mL/min or for long-term suppression,"Potential for pulmonary toxicity, hepatoxicity, and peripheral neuropathy, especially with long-term use; safer alternatives available",,,NITROFURANTOIN
32,Doxazosin,Avoid if used to treat high blood pressure,"High risk of orthostatic hypotension and associated harms, especially in older adults; not recommended as routine treatment for hypertension; alternative agents have superior risk/benefit profile",,,DOXAZOSIN
33,Prazosin,Avoid if used to treat high blood pressure,"High risk of orthostatic hypotension and associated harms, especially in older adults; not recommended as routine treatment for hypertension; alternative agents have superior risk/benefit profile",,,PRAZOSIN
34,Terazosin,Avoid if used to treat high blood pressure,"High risk of orthostatic hypotension and associated harms, especially in older adults; not recommended as routine treatment for hypertension; alternative agents have superior risk/benefit profile",,,TERAZOSIN
35,Clonidine,Avoid as a first-line treatment for high blood pressure,High risk of adverse CNS effects; may cause bradycardia and orthostatic hypotension; not recommended as routine treatment for hypertension,,,CLONIDINE
36,Guanabenz,Avoid,High risk of adverse CNS effects; may cause bradycardia and orthostatic hypotension; not recommended as routine treatment for hypertension,,,GUANABENZ
37,Guanfacine,Avoid,High risk of adverse CNS effects; may cause bradycardia and orthostatic hypotension; not recommended as routine treatment for hypertension,,,GUANFACINE
38,Methyldopa,Avoid,High risk of adverse CNS effects; may cause bradycardia and orthostatic hypotension; not recommended as routine treatment for hypertension,,,METHYLDOPA
39,Reserpine (>0.1 mg/day),Avoid,High risk of adverse CNS effects; may cause bradycardia and orthostatic hypotension; not recommended as routine treatment for hypertension,,,RESERPINE
40,Disopyramide,Avoid,May induce heart failure in older adults because of potent negative inotropic action; strongly anticholinergic; other antiarrhythmic drugs preferred,,,DISOPYRAMIDE
41,Dronedarone,Avoid if diagnosed with atrial fibrillation or severe or recently decompensated heart failure,Worse outcomes have been reported in patients taking dronedarone who have permanent atrial fibrillation or severe or recently decompensated heart failure,,,DRONEDARONE
42,Digoxin,"Avoid as a first-line treatment for atrial fibrillation or heart failure. If used as treatment for atrial fibrillation or heart failure, avoid dosages >0.125 mg/day","Use in atrial fibrillation: should not be used as a first-line agent in atrial fibrillation, because there are safer and more effective alternatives for rate control supported by
high-quality evidence
Use in heart failure: evidence for benefits and harms of digoxin is conflicting and of lower quality; most but not all of the evidence concerns use in HFrEF. There is strong evidence for other agents as first-line therapy to reduce hospitalizations and mortality in adults with HFrEF. In heart failure, higher dosages are not associated with additional benefit and may increase risk of toxicity. Decreased renal clearance of digoxin may lead to increased risk of toxic effects; further dose reduction may be necessary in those with stage 4 or 5 chronic kidney disease",,,DIGOXIN
43,Nifedipine (immediate release),Avoid,Potential for hypotension; risk of precipitating myocardial ischemia,,,NIFEDIPINE
44,Amiodarone,Avoid as first-line therapy for atrial fibrillation unless diagnosed with heart failure or substantial left ventricular hypertrophy,Effective for maintaining sinus rhythm but has greater toxicities than other antiarrhythmics used in atrial fibrillation; may be reasonable first-line therapy in patients with concomitant heart failure or substantial left ventricular hypertrophy if rhythm control is preferred over rate control,,,AMIODARONE
45,Amitriptyline,Avoid,"Highly anticholinergic, sedating, and cause orthostatic hypotension",,,AMITRIPTYLINE
46,Amoxapine,Avoid,"Highly anticholinergic, sedating, and cause orthostatic hypotension",,,AMOXAPINE
47,Clomipramine,Avoid,"Highly anticholinergic, sedating, and cause orthostatic hypotension",,,CLOMIPRAMINE
48,Desipramine,Avoid,"Highly anticholinergic, sedating, and cause orthostatic hypotension",,,DESIPRAMINE
49,Doxepin (>6 mg/day),Avoid,"Highly anticholinergic, sedating, and cause orthostatic hypotension; safety profile of low-dose doxepin (≤6 mg/day) comparable to that of placebo",,,DOXEPIN
50,Imipramine,Avoid,"Highly anticholinergic, sedating, and cause orthostatic hypotension",,,IMIPRAMINE
51,Nortriptyline,Avoid,"Highly anticholinergic, sedating, and cause orthostatic hypotension",,,NORTRIPTYLINE
52,Paroxetine,Avoid,"Highly anticholinergic, sedating, and cause orthostatic hypotension",,,PAROXETINE
53,Protriptyline,Avoid,"Highly anticholinergic, sedating, and cause orthostatic hypotension",,,PROTRIPTYLINE
54,Trimipramine,Avoid,"Highly anticholinergic, sedating, and cause orthostatic hypotension",,,TRIMIPRAMINE
55,Chlorpromazine,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others",,,CHLORPROMAZINE
56,Droperidol,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others",,,DROPERIDOL
57,Fluphenazine,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others",,,FLUPHENAZINE
58,Haloperidol,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others",,,HALOPERIDOL
59,Loxapine,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others",,,LOXAPINE
60,Perphenazine,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others",,,PERPHENAZINE
61,Pimozide,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others",,,PIMOZIDE
62,Prochlorperazine,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others",,,PROCHLORPERAZINE
63,Thioridazine,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others",,,THIORIDAZINE
64,Thiothixene,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others",,,THIOTHIXENE
65,Trifluoperazine,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others",,,TRIFLUOPERAZINE
66,Aripiprazole,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others",,,ARIPIPRAZOLE
67,Asenapine,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others",,,ASENAPINE
68,Clozapine,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others",,,CLOZAPINE
69,Iloperidone,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others",,,ILOPERIDONE
70,Lurasidone,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others",,,LURASIDONE
71,Olanzapine,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others",,,OLANZAPINE
72,Paliperidone,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others",,,PALIPERIDONE
73,Quetiapine,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others",,,QUETIAPINE
74,Risperidone,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others",,,RISPERIDONE
75,Ziprasidone,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others",,,ZIPRASIDONE
76,Amobarbital,Avoid,"High rate of physical dependence, tolerance to sleep benefits, greater risk of overdose at low dosages",,,AMOBARBITAL
77,Butabarbital,Avoid,"High rate of physical dependence, tolerance to sleep benefits, greater risk of overdose at low dosages",,,BUTABARBITAL
78,Butalbital,Avoid,"High rate of physical dependence, tolerance to sleep benefits, greater risk of overdose at low dosages",,,BUTALBITAL
79,Mephobarbital,Avoid,"High rate of physical dependence, tolerance to sleep benefits, greater risk of overdose at low dosages",,,METHYLPHENOBARBITAL
80,Pentobarbital,Avoid,"High rate of physical dependence, tolerance to sleep benefits, greater risk of overdose at low dosages",,,PENTOBARBITAL
81,Phenobarbital,Avoid,"High rate of physical dependence, tolerance to sleep benefits, greater risk of overdose at low dosages",,,PHENOBARBITAL
82,Secobarbital,Avoid,"High rate of physical dependence, tolerance to sleep benefits, greater risk of overdose at low dosages",,,SECOBARBITAL
83,Alprazolam,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia",,,ALPRAZOLAM
84,Estazolam,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia",,,ESTAZOLAM
85,Lorazepam,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia",,,LORAZEPAM
86,Oxazepam,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia",,,OXAZEPAM
87,Temazepam,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia",,,TEMAZEPAM
88,Triazolam,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia",,,TRIAZOLAM
89,Chlordiazepoxide,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia",,,CHLORDIAZEPOXIDE
90,Clonazepam,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia",,,CLONAZEPAM
91,Clorazepate,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia",,,CLORAZEPATE
92,Diazepam,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia",,,DIAZEPAM
93,Flurazepam,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia",,,FLURAZEPAM
94,Quazepam,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia",,,QUAZEPAM
95,Meprobamate,Avoid,High rate of physical dependence; sedating,,,MEPROBAMATE
96,Bromazepam,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia",,,BROMAZEPAM
97,Clobazam,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia",,,CLOBAZAM
98,Nitrazepam,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia",,,NITRAZEPAM
99,Clonazepam,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia",,,CLONAZEPAM
100,Eszopiclone,Avoid,"Nonbenzodiazepine benzodiazepine receptor agonist hypnotics have adverse events similar to those of benzodiazepines in older adults (eg, delirium, falls, fractures); increased emergency room visits/hospitalizations; motor vehicle crashes; minimal improvement in sleep latency and duration",,,ESZOPICLONE
101,Zaleplon,Avoid,"Nonbenzodiazepine benzodiazepine receptor agonist hypnotics have adverse events similar to those of benzodiazepines in older adults (eg, delirium, falls, fractures); increased emergency room visits/hospitalizations; motor vehicle crashes; minimal improvement in sleep latency and duration",,,ZALEPLON
102,Zolpidem,Avoid,"Nonbenzodiazepine benzodiazepine receptor agonist hypnotics have adverse events similar to those of benzodiazepines in older adults (eg, delirium, falls, fractures); increased emergency room visits/hospitalizations; motor vehicle crashes; minimal improvement in sleep latency and duration",,,ZOLPIDEM
103,Ergoloid mesylates,Avoid,Lack of efficacy,,,ERGOLOID MESYLATE
104,Isoxsuprine,Avoid,Lack of efficacy,,,ISOXSUPRINE
105,Methyltestosterone,Avoid unless diagnosed with hypogonadism with clinical symptoms,Potential for cardiac problems; contraindicated in men with prostate cancer,,,METHYLTESTOSTERONE
106,Testosterone,Avoid unless diagnosed with hypogonadism with clinical symptoms,Potential for cardiac problems; contraindicated in men with prostate cancer,,,TESTOSTERONE
107,Desiccated thyroid ,Avoid,Concerns about cardiac effects; safer alternatives available,,,DESICCATED THYROID
108,Estradiol/Levonorgestrel,Avoid,"Evidence of carcinogenic potential (breast and endometrium); lack of cardioprotective effect and cognitive protection in older women.
Evidence indicates that vaginal estrogens for the treatment of vaginal dryness are safe and effective; women with a history of breast cancer who do not respond to nonhormonal therapies are advised to discuss the risks and benefits of low-dose vaginal estrogen (dosages of estradiol <25 μg twice weekly) with their healthcare provider",,,ESTRADIOL/LEVONORGESTREL
109,Estradiol/Northindrone Acetate,Avoid,"Evidence of carcinogenic potential (breast and endometrium); lack of cardioprotective effect and cognitive protection in older women.
Evidence indicates that vaginal estrogens for the treatment of vaginal dryness are safe and effective; women with a history of breast cancer who do not respond to nonhormonal therapies are advised to discuss the risks and benefits of low-dose vaginal estrogen (dosages of estradiol <25 μg twice weekly) with their healthcare provider",,,ESTRADIOL/NORETHINDRONE ACETATE
110,Estradiol/Drospirenone,Avoid,"Evidence of carcinogenic potential (breast and endometrium); lack of cardioprotective effect and cognitive protection in older women.
Evidence indicates that vaginal estrogens for the treatment of vaginal dryness are safe and effective; women with a history of breast cancer who do not respond to nonhormonal therapies are advised to discuss the risks and benefits of low-dose vaginal estrogen (dosages of estradiol <25 μg twice weekly) with their healthcare provider",,,DROSPIRENONE/ESTRADIOL
111,Ospemifene,Avoid,"Evidence of carcinogenic potential (breast and endometrium); lack of cardioprotective effect and cognitive protection in older women.
Evidence indicates that vaginal estrogens for the treatment of vaginal dryness are safe and effective; women with a history of breast cancer who do not respond to nonhormonal therapies are advised to discuss the risks and benefits of low-dose vaginal estrogen (dosages of estradiol <25 μg twice weekly) with their healthcare provider",,,OSPEMIFENE
112,Estradiol/Norgestimate,Avoid,"Evidence of carcinogenic potential (breast and endometrium); lack of cardioprotective effect and cognitive protection in older women.
Evidence indicates that vaginal estrogens for the treatment of vaginal dryness are safe and effective; women with a history of breast cancer who do not respond to nonhormonal therapies are advised to discuss the risks and benefits of low-dose vaginal estrogen (dosages of estradiol <25 μg twice weekly) with their healthcare provider",,,ESTRADIOL/NORGESTIMATE
