,DrugName,ActiveIngredient
74,SYNOPHYLATE,THEOPHYLLINE SODIUM GLYCINATE
75,METHADONE HYDROCHLORIDE,METHADONE HYDROCHLORIDE
76,PRISCOLINE,TOLAZOLINE HYDROCHLORIDE
77,DECAPRYN,DOXYLAMINE SUCCINATE
78,CAMOQUIN HYDROCHLORIDE,AMODIAQUINE HYDROCHLORIDE
79,HETRAZAN,DIETHYLCARBAMAZINE CITRATE
80,PROTAMINE SULFATE,PROTAMINE SULFATE
81,CALCIUM GLUCEPTATE,CALCIUM GLUCEPTATE
82,XYLOCAINE,LIDOCAINE HYDROCHLORIDE
83,XYLOCAINE W/ EPINEPHRINE,EPINEPHRINE; LIDOCAINE HYDROCHLORIDE
84,BENYLIN,DIPHENHYDRAMINE HYDROCHLORIDE
85,GANTRISIN,SULFISOXAZOLE
86,AVC,SULFANILAMIDE
87,URECHOLINE,BETHANECHOL CHLORIDE
88,AMMONIUM CHLORIDE 0.9% IN NORMAL SALINE,AMMONIUM CHLORIDE
89,CAFERGOT,CAFFEINE; ERGOTAMINE TARTRATE
90,METUBINE IODIDE,METOCURINE IODIDE
91,REDISOL,CYANOCOBALAMIN
92,MUSTARGEN,MECHLORETHAMINE HYDROCHLORIDE
93,VASOXYL,METHOXAMINE HYDROCHLORIDE
94,ARTANE,TRIHEXYPHENIDYL HYDROCHLORIDE
95,BERUBIGEN,CYANOCOBALAMIN
96,RUBRAMIN PC,CYANOCOBALAMIN
97,PARADIONE,PARAMETHADIONE
98,PARASAL,AMINOSALICYLIC ACID
99,PARASAL SODIUM,AMINOSALICYLATE SODIUM
100,AQUASOL A,VITAMIN A PALMITATE
101,PHISOHEX,HEXACHLOROPHENE
102,TERFONYL,TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE)
103,NORISODRINE,ISOPROTERENOL SULFATE
104,GANTRISIN,SULFISOXAZOLE DIOLAMINE
105,TRIPLE SULFAS,TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE)
106,CHLOR-TRIMETON,CHLORPHENIRAMINE MALEATE
107,EURAX,CROTAMITON
108,SYNCURINE,DECAMETHONIUM BROMIDE
109,VI-TWEL,CYANOCOBALAMIN
110,AZULFIDINE,SULFASALAZINE
111,AZULFIDINE EN-TABS,SULFASALAZINE
112,CYANOCOBALAMIN,CYANOCOBALAMIN
113,CORTONE,CORTISONE ACETATE
114,AEROLONE,ISOPROTERENOL HYDROCHLORIDE
115,TEEBACIN,AMINOSALICYLATE SODIUM
116,PRONESTYL,PROCAINAMIDE HYDROCHLORIDE
117,VERILOID,ALKAVERVIR
118,PERCODAN-DEMI,ASPIRIN; OXYCODONE HYDROCHLORIDE; OXYCODONE TEREPHTHALATE
119,PERCODAN,ASPIRIN; OXYCODONE HYDROCHLORIDE; OXYCODONE TEREPHTHALATE
120,PERCODAN,ASPIRIN; OXYCODONE HYDROCHLORIDE
121,BANTHINE,METHANTHELINE BROMIDE
122,SECONAL SODIUM,SECOBARBITAL SODIUM
123,BENTYL,DICYCLOMINE HYDROCHLORIDE
124,ACTHAR,CORTICOTROPIN
125,LEVOPHED,NOREPINEPHRINE BITARTRATE
126,TAPAZOLE,METHIMAZOLE
127,QUINIDINE GLUCONATE,QUINIDINE GLUCONATE
128,SURITAL,THIAMYLAL SODIUM
129,PHENURONE,PHENACEMIDE
130,NEOTHYLLINE,DYPHYLLINE
131,FLAXEDIL,GALLAMINE TRIETHIODIDE
132,POTASSIUM CHLORIDE,POTASSIUM CHLORIDE
133,ANTABUSE,DISULFIRAM
134,BENEMID,PROBENECID
135,PHENERGAN,PROMETHAZINE HYDROCHLORIDE
136,SELSUN,SELENIUM SULFIDE
137,SUS-PHRINE SULFITE FREE,EPINEPHRINE
138,PREFRIN-A,PHENYLEPHRINE HYDROCHLORIDE; PYRILAMINE MALEATE
139,TENSILON,EDROPHONIUM CHLORIDE
140,TENSILON PRESERVATIVE FREE,EDROPHONIUM CHLORIDE
141,AMBODRYL,BROMODIPHENHYDRAMINE HYDROCHLORIDE
142,TELEPAQUE,IOPANOIC ACID
143,EVANS BLUE,EVANS BLUE
144,XYLOCAINE,LIDOCAINE
145,METHOTREXATE SODIUM,METHOTREXATE SODIUM
146,TACE,CHLOROTRIANISENE
147,LEUCOVORIN CALCIUM,LEUCOVORIN CALCIUM
148,PRANTAL,DIPHEMANIL METHYLSULFATE
149,CORTISONE ACETATE,CORTISONE ACETATE
150,BENOQUIN,MONOBENZONE
151,HYDROCORTONE,HYDROCORTISONE ACETATE
152,WYAMINE SULFATE,MEPHENTERMINE SULFATE
153,REGITINE,PHENTOLAMINE MESYLATE
154,APRESOLINE,HYDRALAZINE HYDROCHLORIDE
155,PHENERGAN W/ CODEINE,CODEINE PHOSPHATE; PROMETHAZINE HYDROCHLORIDE
156,PHENERGAN VC W/ CODEINE,CODEINE PHOSPHATE; PHENYLEPHRINE HYDROCHLORIDE; PROMETHAZINE HYDROCHLORIDE
157,PRIMAQUINE,PRIMAQUINE PHOSPHATE
158,ACTH,CORTICOTROPIN
159,BUTAZOLIDIN,PHENYLBUTAZONE
160,GEMONIL,METHARBITAL
161,BENTYL PRESERVATIVE FREE,DICYCLOMINE HYDROCHLORIDE
162,ACTHAR GEL,CORTICOTROPIN
163,TPN,NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; TYROSINE
164,PROMETHAZINE HYDROCHLORIDE PLAIN,PROMETHAZINE HYDROCHLORIDE
165,NYDRAZID,ISONIAZID
166,RIMIFON,ISONIAZID
167,ISONIAZID,ISONIAZID
168,ANECTINE,SUCCINYLCHOLINE CHLORIDE
169,CYCLAINE,HEXYLCAINE HYDROCHLORIDE
170,ANTRENYL,OXYPHENONIUM BROMIDE
171,HYDROCORTONE,HYDROCORTISONE
172,THIOSULFIL,SULFAMETHIZOLE
173,DARAPRIM,PYRIMETHAMINE
174,RAVOCAINE AND NOVOCAIN W/ LEVOPHED,NOREPINEPHRINE BITARTRATE; PROCAINE HYDROCHLORIDE; PROPOXYCAINE HYDROCHLORIDE
175,RAVOCAINE AND NOVOCAIN W/ NEO-COBEFRIN,LEVONORDEFRIN; PROCAINE HYDROCHLORIDE; PROPOXYCAINE HYDROCHLORIDE
176,PHENERGAN VC,PHENYLEPHRINE HYDROCHLORIDE; PROMETHAZINE HYDROCHLORIDE
177,FURADANTIN,NITROFURANTOIN
178,CORTEF,HYDROCORTISONE
179,DIBENZYLINE,PHENOXYBENZAMINE HYDROCHLORIDE
180,LEVO-DROMORAN,LEVORPHANOL TARTRATE
181,PRO-BANTHINE,PROPANTHELINE BROMIDE
182,DILANTIN-125,PHENYTOIN
183,DILANTIN-30,PHENYTOIN
184,HEDULIN,PHENINDIONE
185,M.V.I.-12 ADULT,ASCORBIC ACID; BIOTIN; CYANOCOBALAMIN; DEXPANTHENOL; ERGOCALCIFEROL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A; VITAMIN E
186,M.V.I.-12 ADULT,ASCORBIC ACID; BIOTIN; CYANOCOBALAMIN; DEXPANTHENOL; ERGOCALCIFEROL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN; THIAMINE HYDROCHLORIDE; VITAMIN A; VITAMIN E
187,UNITENSEN,CRYPTENAMINE ACETATES
188,PERCORTEN,DESOXYCORTICOSTERONE PIVALATE
189,RAUDIXIN,RAUWOLFIA SERPENTINA ROOT
190,QUELICIN PRESERVATIVE FREE,SUCCINYLCHOLINE CHLORIDE
191,QUELICIN,SUCCINYLCHOLINE CHLORIDE
192,SUCOSTRIN,SUCCINYLCHOLINE CHLORIDE
193,PAMINE,METHSCOPOLAMINE BROMIDE
194,PAMINE FORTE,METHSCOPOLAMINE BROMIDE
195,MILONTIN,PHENSUXIMIDE
196,RAUWILOID,ALSEROXYLON
197,DICURIN PROCAINE,PROCAINE MERETHOXYLLINE; THEOPHYLLINE
198,OPHTHAINE,PROPARACAINE HYDROCHLORIDE
199,CLISTIN,CARBINOXAMINE MALEATE
200,CORTEF ACETATE,HYDROCORTISONE ACETATE
201,CALCIUM DISODIUM VERSENATE,EDETATE CALCIUM DISODIUM
202,DIAMOX,ACETAZOLAMIDE
203,PAGITANE,CYCRIMINE HYDROCHLORIDE
204,PURIFIED CORTROPHIN GEL,CORTICOTROPIN
205,ARFONAD,TRIMETHAPHAN CAMSYLATE
206,SALPIX,ACETRIZOATE SODIUM
207,8-MOP,METHOXSALEN
208,OXSORALEN,METHOXSALEN
209,REZIPAS,AMINOSALICYLIC ACID RESIN COMPLEX
210,PURINETHOL,MERCAPTOPURINE
211,PARSIDOL,ETHOPROPAZINE HYDROCHLORIDE
212,HYDERGINE,ERGOLOID MESYLATES
213,ANTEPAR,PIPERAZINE CITRATE
214,RAUVAL,RAUWOLFIA SERPENTINA ROOT
215,SERPASIL,RESERPINE
216,CORTRIL,HYDROCORTISONE
217,THORAZINE,CHLORPROMAZINE HYDROCHLORIDE
218,THORAZINE,CHLORPROMAZINE
219,CORTRIL,HYDROCORTISONE ACETATE
220,DELATESTRYL,TESTOSTERONE ENANTHATE
221,HYDROXYSTILBAMIDINE ISETHIONATE,HYDROXYSTILBAMIDINE ISETHIONATE
222,MYSOLINE,PRIMIDONE
223,GANTRISIN,SULFISOXAZOLE ACETYL
224,GANTRISIN PEDIATRIC,SULFISOXAZOLE ACETYL
225,LIPO GANTRISIN,SULFISOXAZOLE ACETYL
226,LIPIODOL,ETHIODIZED OIL
227,COGENTIN,BENZTROPINE MESYLATE
228,RAUTENSIN,ALSEROXYLON
229,UNITENSEN,CRYPTENAMINE TANNATES
230,COUMADIN,WARFARIN SODIUM
231,PROGESTERONE,PROGESTERONE
232,WOLFINA,RAUWOLFIA SERPENTINA ROOT
233,CHOLEDYL,OXTRIPHYLLINE
234,RAUWOLFIA SERPENTINA,RAUWOLFIA SERPENTINA ROOT
235,HIWOLFIA,RAUWOLFIA SERPENTINA ROOT
236,KOGLUCOID,RAUWOLFIA SERPENTINA ROOT
237,CEDILANID-D,DESLANOSIDE
238,SERPASIL-APRESOLINE,HYDRALAZINE HYDROCHLORIDE; RESERPINE
239,DIONOSIL AQUEOUS,PROPYLIODONE
240,DIONOSIL OILY,PROPYLIODONE
241,AMBENYL,BROMODIPHENHYDRAMINE HYDROCHLORIDE; CODEINE PHOSPHATE
242,CHOLOGRAFIN SODIUM,IODIPAMIDE SODIUM
243,CHOLOGRAFIN MEGLUMINE,IODIPAMIDE MEGLUMINE
244,LANOXIN,DIGOXIN
245,LANOXIN PEDIATRIC,DIGOXIN
246,HISTALOG,BETAZOLE HYDROCHLORIDE
247,RAU-SED,RESERPINE
248,ANSOLYSEN,PENTOLINIUM TARTRATE
249,SANDRIL,RESERPINE
250,MYLERAN,BUSULFAN
251,DIAMOX,ACETAZOLAMIDE SODIUM
252,SERPANRAY,RESERPINE
253,PASKALIUM,POTASSIUM AMINOSALICYLATE
254,DELESTROGEN,ESTRADIOL VALERATE
255,LOTUSATE,TALBUTAL
256,NESACAINE,CHLOROPROCAINE HYDROCHLORIDE
257,NESACAINE-MPF,CHLOROPROCAINE HYDROCHLORIDE
258,ACYLANID,ACETYLDIGITOXIN
259,MULTIFUGE,PIPERAZINE CITRATE
260,SERPATE,RESERPINE
261,XYLOCAINE VISCOUS,LIDOCAINE HYDROCHLORIDE
262,BENADRYL PRESERVATIVE FREE,DIPHENHYDRAMINE HYDROCHLORIDE
263,PATHILON,TRIDIHEXETHYL CHLORIDE
264,MAREZINE,CYCLIZINE LACTATE
265,ARAMINE,METARAMINOL BITARTRATE
266,DORIDEN,GLUTETHIMIDE
267,HYPAQUE,DIATRIZOATE SODIUM
268,HYPAQUE SODIUM 20%,DIATRIZOATE SODIUM
269,CORT-DOME,HYDROCORTISONE
270,RESERPINE,RESERPINE
271,HISERPIA,RESERPINE
272,HYDROCORTISONE ACETATE,HYDROCORTISONE ACETATE
273,SERPIVITE,RESERPINE
274,HYDROCORTISONE,HYDROCORTISONE
275,NOLUDAR,METHYPRYLON
276,MILTOWN,MEPROBAMATE
277,VALMID,ETHINAMATE
278,METICORTEN,PREDNISONE
279,PLAQUENIL,HYDROXYCHLOROQUINE SULFATE
280,MYLAXEN,HEXAFLUORENIUM BROMIDE
281,KEMADRIN,PROCYCLIDINE HYDROCHLORIDE
282,MESTINON,PYRIDOSTIGMINE BROMIDE
283,CORTROPHIN-ZINC,CORTICOTROPIN-ZINC HYDROXIDE
284,SOLU-CORTEF,HYDROCORTISONE SODIUM SUCCINATE
285,CORTEF,HYDROCORTISONE CYPIONATE
286,DYCLONE,DYCLONINE HYDROCHLORIDE
287,RAUSERPIN,RAUWOLFIA SERPENTINA ROOT
288,DELTASONE,PREDNISONE
289,DELTA-CORTEF,PREDNISOLONE
290,STERANE,PREDNISOLONE
291,STILPHOSTROL,DIETHYLSTILBESTROL DIPHOSPHATE
292,PLACIDYL,ETHCHLORVYNOL
293,EQUANIL,MEPROBAMATE
294,RENOGRAFIN-76,DIATRIZOATE MEGLUMINE; DIATRIZOATE SODIUM
295,RENOGRAFIN-60,DIATRIZOATE MEGLUMINE; DIATRIZOATE SODIUM
296,RENO-DIP,DIATRIZOATE MEGLUMINE
297,RENO-60,DIATRIZOATE MEGLUMINE
298,DIATRIZOATE MEGLUMINE,DIATRIZOATE MEGLUMINE
299,CYSTOGRAFIN,DIATRIZOATE MEGLUMINE
300,RENOVIST II,DIATRIZOATE MEGLUMINE; DIATRIZOATE SODIUM
301,RENOVIST,DIATRIZOATE MEGLUMINE; DIATRIZOATE SODIUM
302,RENO-30,DIATRIZOATE MEGLUMINE
303,CYSTOGRAFIN DILUTE,DIATRIZOATE MEGLUMINE
304,FLORINEF,FLUDROCORTISONE ACETATE
305,BIPHETAMINE 20,AMPHETAMINE RESIN COMPLEX; DEXTROAMPHETAMINE RESIN COMPLEX
306,BIPHETAMINE 12.5,AMPHETAMINE RESIN COMPLEX; DEXTROAMPHETAMINE RESIN COMPLEX
307,BIPHETAMINE 7.5,AMPHETAMINE RESIN COMPLEX; DEXTROAMPHETAMINE RESIN COMPLEX
308,MEPHYTON,PHYTONADIONE
309,SERPALAN,RESERPINE
310,DILANTIN,PHENYTOIN SODIUM
311,MYTELASE,AMBENONIUM CHLORIDE
312,RITALIN,METHYLPHENIDATE HYDROCHLORIDE
313,METI-DERM,PREDNISOLONE
314,METIMYD,PREDNISOLONE ACETATE; SULFACETAMIDE SODIUM
315,"HYPAQUE-M,90%",DIATRIZOATE MEGLUMINE; DIATRIZOATE SODIUM
316,"HYPAQUE-M,75%",DIATRIZOATE MEGLUMINE; DIATRIZOATE SODIUM
317,INVERSINE,MECAMYLAMINE HYDROCHLORIDE
318,METICORTELONE,PREDNISOLONE ACETATE
319,DELALUTIN,HYDROXYPROGESTERONE CAPROATE
320,SPARINE,PROMAZINE HYDROCHLORIDE
321,QUARZAN,CLIDINIUM BROMIDE
322,MEDIHALER-EPI,EPINEPHRINE BITARTRATE
323,MEDIHALER-ISO,ISOPROTERENOL SULFATE
324,ISOPROTERENOL HYDROCHLORIDE,ISOPROTERENOL HYDROCHLORIDE
325,CYTOMEL,LIOTHYRONINE SODIUM
326,ATARAX,HYDROXYZINE HYDROCHLORIDE
327,XYLOCAINE 4% PRESERVATIVE FREE,LIDOCAINE HYDROCHLORIDE
328,LORFAN,LEVALLORPHAN TARTRATE
329,PRELUDIN,PHENMETRAZINE HYDROCHLORIDE
330,XYLOCAINE 5% W/ GLUCOSE 7.5%,LIDOCAINE HYDROCHLORIDE
331,LERITINE,ANILERIDINE PHOSPHATE
332,PBZ-SR,TRIPELENNAMINE HYDROCHLORIDE
333,MAGNACORT,HYDROCORTAMATE HYDROCHLORIDE
334,HYDELTRA-TBA,PREDNISOLONE TEBUTATE
335,COMPAZINE,PROCHLORPERAZINE MALEATE
336,HYSERPIN,RAUWOLFIA SERPENTINA ROOT
337,LERITINE,ANILERIDINE HYDROCHLORIDE
338,CELONTIN,METHSUXIMIDE
339,BENDECTIN,DOXYLAMINE SUCCINATE; PYRIDOXINE HYDROCHLORIDE
340,TRAL,HEXOCYCLIUM METHYLSULFATE
341,HALOTESTIN,FLUOXYMESTERONE
342,DISIPAL,ORPHENADRINE HYDROCHLORIDE
343,FLOROPRYL,ISOFLUROPHATE
344,LEUKERAN,CHLORAMBUCIL
345,ORINASE,TOLBUTAMIDE
346,CANTIL,MEPENZOLATE BROMIDE
347,MODERIL,RESCINNAMINE
348,ANTIVERT,MECLIZINE HYDROCHLORIDE
349,COMPAZINE,PROCHLORPERAZINE EDISYLATE
350,DARBID,ISOPROPAMIDE IODIDE
351,ESTRADURIN,POLYESTRADIOL PHOSPHATE
352,TRILAFON,PERPHENAZINE
353,IRON DEXTRAN,FERRIC OXYHYDROXIDE
354,RUBIVITE,CYANOCOBALAMIN
355,HARMONYL,DESERPIDINE
356,DIMETANE,BROMPHENIRAMINE MALEATE
357,CORTICOTROPIN,CORTICOTROPIN
358,PEGANONE,ETHOTOIN
359,NORLUTIN,NORETHINDRONE
360,MIRADON,ANISINDIONE
361,BUCLADIN-S,BUCLIZINE HYDROCHLORIDE
362,PHOSPHOTOPE,SODIUM PHOSPHATE P-32
363,IODOTOPE,SODIUM IODIDE I-131
364,PARACORT,PREDNISONE
365,PMB 400,"ESTROGENS, CONJUGATED; MEPROBAMATE"
366,PMB 200,"ESTROGENS, CONJUGATED; MEPROBAMATE"
367,ENOVID,MESTRANOL; NORETHYNODREL
368,ENOVID-E,MESTRANOL; NORETHYNODREL
369,ENOVID-E 21,MESTRANOL; NORETHYNODREL
370,DARVON W/ ASA,ASPIRIN; PROPOXYPHENE HYDROCHLORIDE
371,DARVON COMPOUND,ASPIRIN; CAFFEINE; PROPOXYPHENE HYDROCHLORIDE
372,DARVON COMPOUND-65,ASPIRIN; CAFFEINE; PROPOXYPHENE HYDROCHLORIDE
373,DARVON,PROPOXYPHENE HYDROCHLORIDE
374,ROBAXIN,METHOCARBAMOL
375,ROBAXIN-750,METHOCARBAMOL
376,HYDELTRASOL,PREDNISOLONE SODIUM PHOSPHATE
377,MILPREM-400,"ESTROGENS, CONJUGATED; MEPROBAMATE"
378,MILPREM-200,"ESTROGENS, CONJUGATED; MEPROBAMATE"
379,CARDRASE,ETHOXZOLAMIDE
380,WAMPOCAP,NIACIN
381,ACTIDIL,TRIPROLIDINE HYDROCHLORIDE
382,VISTARIL,HYDROXYZINE HYDROCHLORIDE
383,VESPRIN,TRIFLUPROMAZINE HYDROCHLORIDE
384,COMPAZINE,PROCHLORPERAZINE
385,DIURIL,CHLOROTHIAZIDE
386,DIURIL,CHLOROTHIAZIDE SODIUM
387,MEDROL,METHYLPREDNISOLONE
388,ARISTOCORT,TRIAMCINOLONE
389,DEPINAR,CYANOCOBALAMIN; TANNIC ACID; ZINC ACETATE
390,TESSALON,BENZONATATE
391,LIQUAMAR,PHENPROCOUMON
392,GASTROGRAFIN,DIATRIZOATE MEGLUMINE; DIATRIZOATE SODIUM
393,PROMETHAZINE HYDROCHLORIDE AND DEXTROMETHORPHAN HYDROBROMIDE,DEXTROMETHORPHAN HYDROBROMIDE; PROMETHAZINE HYDROCHLORIDE
394,FUROXONE,FURAZOLIDONE
395,KENACORT,TRIAMCINOLONE
396,MEPROSPAN,MEPROBAMATE
397,KAYEXALATE,SODIUM POLYSTYRENE SULFONATE
398,PARAFLEX,CHLORZOXAZONE
399,TEMARIL,TRIMEPRAZINE TARTRATE
400,SINOGRAFIN,DIATRIZOATE MEGLUMINE; IODIPAMIDE MEGLUMINE
401,FLUOTHANE,HALOTHANE
402,CERUMENEX,TROLAMINE POLYPEPTIDE OLEATE CONDENSATE
403,ORA-TESTRYL,FLUOXYMESTERONE
404,DARANIDE,DICHLORPHENAMIDE
405,KEVEYIS,DICHLORPHENAMIDE
406,DIMETANE-TEN,BROMPHENIRAMINE MALEATE
407,STERANE,PREDNISOLONE ACETATE
408,VISTARIL,HYDROXYZINE PAMOATE
409,TRANCOPAL,CHLORMEZANONE
410,SYNALGOS-DC,ASPIRIN; CAFFEINE; DIHYDROCODEINE BITARTRATE
411,VESPRIN,TRIFLUPROMAZINE
412,ADDERALL 10,AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE
413,ADDERALL 20,AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE
414,ADDERALL 5,AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE
415,ADDERALL 30,AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE
416,ADDERALL 7.5,AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE
417,ADDERALL 12.5,AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE
418,ADDERALL 15,AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE
419,IC-GREEN,INDOCYANINE GREEN
420,PARAFON FORTE DSC,CHLORZOXAZONE
421,STELAZINE,TRIFLUOPERAZINE HYDROCHLORIDE
422,ANTURANE,SULFINPYRAZONE
423,BREVITAL SODIUM,METHOHEXITAL SODIUM
424,TRIAMCINOLONE ACETONIDE,TRIAMCINOLONE ACETONIDE
425,KENALOG,TRIAMCINOLONE ACETONIDE
426,DARICON,OXYPHENCYCLIMINE HYDROCHLORIDE
427,IONAMIN,PHENTERMINE RESIN COMPLEX
428,CARDIOGRAFIN,DIATRIZOATE MEGLUMINE
429,DIUPRES-250,CHLOROTHIAZIDE; RESERPINE
430,DIUPRES-500,CHLOROTHIAZIDE; RESERPINE
431,DIABINESE,CHLORPROPAMIDE
432,CARDIOQUIN,QUINIDINE POLYGALACTURONATE
433,BETAPRONE,PROPIOLACTONE
434,DECADRON,DEXAMETHASONE
435,TEPANIL,DIETHYLPROPION HYDROCHLORIDE
436,PENTOTHAL,THIOPENTAL SODIUM
437,THIOTEPA,THIOTEPA
438,ARISTOCORT,TRIAMCINOLONE DIACETATE
439,PHENY-PAS-TEBAMIN,PHENYL AMINOSALICYLATE
440,EQUAGESIC,ASPIRIN; MEPROBAMATE
441,OPANA,OXYMORPHONE HYDROCHLORIDE
442,METHOTREXATE LPF,METHOTREXATE SODIUM
443,METHOTREXATE SODIUM PRESERVATIVE FREE,METHOTREXATE SODIUM
444,METHOTREXATE PRESERVATIVE FREE,METHOTREXATE SODIUM
445,NEPTAZANE,METHAZOLAMIDE
446,TENUATE,DIETHYLPROPION HYDROCHLORIDE
447,MEPERGAN,MEPERIDINE HYDROCHLORIDE; PROMETHAZINE HYDROCHLORIDE
