,Drug,Recommendation,Rationale,Creatinine Clearance,Condition
11,Meclizine,Avoid,"Highly anticholinergic; clearance reduced with advanced age, and tolerance develops when used as hypnotic; risk of confusion, dry mouth, constipation, and other anticholinergic effects or toxicity",,
12,Promethazine,Avoid,"Highly anticholinergic; clearance reduced with advanced age, and tolerance develops when used as hypnotic; risk of confusion, dry mouth, constipation, and other anticholinergic effects or toxicity",,
13,Pyrilamine,Avoid,"Highly anticholinergic; clearance reduced with advanced age, and tolerance develops when used as hypnotic; risk of confusion, dry mouth, constipation, and other anticholinergic effects or toxicity",,
14,Triprolidine,Avoid,"Highly anticholinergic; clearance reduced with advanced age, and tolerance develops when used as hypnotic; risk of confusion, dry mouth, constipation, and other anticholinergic effects or toxicity",,
15,Benztropine (oral),Avoid,Not recommended for prevention or treatment of extrapyramidal symptoms with antipsychotics; more effective agents available for treatment of Parkinson disease,,
16,Trihexyphenidyl,Avoid,Not recommended for prevention or treatment of extrapyramidal symptoms with antipsychotics; more effective agents available for treatment of Parkinson disease,,
17,Atropine (excludes ophthalmic),Avoid,"Highly anticholinergic, uncertain effectivenes",,
18,Belladonna alkaloids,Avoid,"Highly anticholinergic, uncertain effectivenes",,
19,Ipratropium,Avoid,"Highly anticholinergic, uncertain effectivenes",,
20,Hyoscyamine,Avoid,"Highly anticholinergic, uncertain effectivenes",,
21,Scopolamine,Avoid,"Highly anticholinergic, uncertain effectivenes",,
22,Hyoscine,Avoid,"Highly anticholinergic, uncertain effectivenes",,
23,Fentonium,Avoid,"Highly anticholinergic, uncertain effectivenes",,
24,Methylatropine,Avoid,"Highly anticholinergic, uncertain effectivenes",,
25,Butropium,Avoid,"Highly anticholinergic, uncertain effectivenes",,
26,Clidinium/Chlordiazepoxide,Avoid,"Highly anticholinergic, uncertain effectivenes",,
27,Dicyclomine/Homatropine (excludes opthalmic),Avoid,"Highly anticholinergic, uncertain effectivenes",,
28,Methscopolamine,Avoid,"Highly anticholinergic, uncertain effectivenes",,
29,Propantheline,Avoid,"Highly anticholinergic, uncertain effectivenes",,
30,"Dipyridamole, oral short acting",Avoid. Does not apply to the extended-release combination with aspirin,May cause orthostatic hypotension; more effective alternatives available; IV form acceptable for use in cardiac stress testing,,
31,Nitrofurantoin ,Avoid if creatinine clearance <30mL/min or for long-term suppression,"Potential for pulmonary toxicity, hepatoxicity, and peripheral neuropathy, especially with long-term use; safer alternatives available",,
32,Doxazosin,Avoid if used to treat high blood pressure,"High risk of orthostatic hypotension and associated harms, especially in older adults; not recommended as routine treatment for hypertension; alternative agents have superior risk/benefit profile",,
33,Prazosin,Avoid if used to treat high blood pressure,"High risk of orthostatic hypotension and associated harms, especially in older adults; not recommended as routine treatment for hypertension; alternative agents have superior risk/benefit profile",,
34,Terazosin,Avoid if used to treat high blood pressure,"High risk of orthostatic hypotension and associated harms, especially in older adults; not recommended as routine treatment for hypertension; alternative agents have superior risk/benefit profile",,
35,Clonidine,Avoid as a first-line treatment for high blood pressure,High risk of adverse CNS effects; may cause bradycardia and orthostatic hypotension; not recommended as routine treatment for hypertension,,
36,Guanabenz,Avoid,High risk of adverse CNS effects; may cause bradycardia and orthostatic hypotension; not recommended as routine treatment for hypertension,,
37,Guanfacine,Avoid,High risk of adverse CNS effects; may cause bradycardia and orthostatic hypotension; not recommended as routine treatment for hypertension,,
38,Methyldopa,Avoid,High risk of adverse CNS effects; may cause bradycardia and orthostatic hypotension; not recommended as routine treatment for hypertension,,
39,Reserpine (>0.1 mg/day),Avoid,High risk of adverse CNS effects; may cause bradycardia and orthostatic hypotension; not recommended as routine treatment for hypertension,,
40,Disopyramide,Avoid,May induce heart failure in older adults because of potent negative inotropic action; strongly anticholinergic; other antiarrhythmic drugs preferred,,
41,Dronedarone,Avoid if diagnosed with atrial fibrillation or severe or recently decompensated heart failure,Worse outcomes have been reported in patients taking dronedarone who have permanent atrial fibrillation or severe or recently decompensated heart failure,,
42,Digoxin,"Avoid as a first-line treatment for atrial fibrillation or heart failure. If used as treatment for atrial fibrillation or heart failure, avoid dosages >0.125 mg/day","Use in atrial fibrillation: should not be used as a first-line agent in atrial fibrillation, because there are safer and more effective alternatives for rate control supported by
high-quality evidence
Use in heart failure: evidence for benefits and harms of digoxin is conflicting and of lower quality; most but not all of the evidence concerns use in HFrEF. There is strong evidence for other agents as first-line therapy to reduce hospitalizations and mortality in adults with HFrEF. In heart failure, higher dosages are not associated with additional benefit and may increase risk of toxicity. Decreased renal clearance of digoxin may lead to increased risk of toxic effects; further dose reduction may be necessary in those with stage 4 or 5 chronic kidney disease",,
43,Nifedipine (immediate release),Avoid,Potential for hypotension; risk of precipitating myocardial ischemia,,
44,Amiodarone,Avoid as first-line therapy for atrial fibrillation unless diagnosed with heart failure or substantial left ventricular hypertrophy,Effective for maintaining sinus rhythm but has greater toxicities than other antiarrhythmics used in atrial fibrillation; may be reasonable first-line therapy in patients with concomitant heart failure or substantial left ventricular hypertrophy if rhythm control is preferred over rate control,,
45,Amitriptyline,Avoid,"Highly anticholinergic, sedating, and cause orthostatic hypotension",,
46,Amoxapine,Avoid,"Highly anticholinergic, sedating, and cause orthostatic hypotension",,
47,Clomipramine,Avoid,"Highly anticholinergic, sedating, and cause orthostatic hypotension",,
48,Desipramine,Avoid,"Highly anticholinergic, sedating, and cause orthostatic hypotension",,
49,Doxepin (>6 mg/day),Avoid,"Highly anticholinergic, sedating, and cause orthostatic hypotension; safety profile of low-dose doxepin (≤6 mg/day) comparable to that of placebo",,
50,Imipramine,Avoid,"Highly anticholinergic, sedating, and cause orthostatic hypotension",,
51,Nortriptyline,Avoid,"Highly anticholinergic, sedating, and cause orthostatic hypotension",,
52,Paroxetine,Avoid,"Highly anticholinergic, sedating, and cause orthostatic hypotension",,
53,Protriptyline,Avoid,"Highly anticholinergic, sedating, and cause orthostatic hypotension",,
54,Trimipramine,Avoid,"Highly anticholinergic, sedating, and cause orthostatic hypotension",,
55,Chlorpromazine,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others",,
56,Droperidol,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others",,
57,Fluphenazine,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others",,
58,Haloperidol,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others",,
59,Loxapine,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others",,
60,Perphenazine,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others",,
61,Pimozide,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others",,
62,Prochlorperazine,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others",,
63,Thioridazine,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others",,
64,Thiothixene,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others",,
65,Trifluoperazine,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others",,
66,Aripiprazole,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others",,
67,Asenapine,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others",,
68,Clozapine,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others",,
69,Iloperidone,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others",,
70,Lurasidone,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others",,
71,Olanzapine,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others",,
72,Paliperidone,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others",,
73,Quetiapine,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others",,
74,Risperidone,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others",,
75,Ziprasidone,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others",,
76,Amobarbital,Avoid,"High rate of physical dependence, tolerance to sleep benefits, greater risk of overdose at low dosages",,
77,Butabarbital,Avoid,"High rate of physical dependence, tolerance to sleep benefits, greater risk of overdose at low dosages",,
78,Butalbital,Avoid,"High rate of physical dependence, tolerance to sleep benefits, greater risk of overdose at low dosages",,
79,Mephobarbital,Avoid,"High rate of physical dependence, tolerance to sleep benefits, greater risk of overdose at low dosages",,
80,Pentobarbital,Avoid,"High rate of physical dependence, tolerance to sleep benefits, greater risk of overdose at low dosages",,
81,Phenobarbital,Avoid,"High rate of physical dependence, tolerance to sleep benefits, greater risk of overdose at low dosages",,
82,Secobarbital,Avoid,"High rate of physical dependence, tolerance to sleep benefits, greater risk of overdose at low dosages",,
83,Alprazolam,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia",,
84,Estazolam,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia",,
85,Lorazepam,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia",,
86,Oxazepam,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia",,
87,Temazepam,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia",,
88,Triazolam,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia",,
89,Chlordiazepoxide,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia",,
90,Clonazepam,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia",,
91,Clorazepate,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia",,
92,Diazepam,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia",,
93,Flurazepam,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia",,
94,Quazepam,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia",,
95,Meprobamate,Avoid,High rate of physical dependence; sedating,,
96,Bromazepam,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia",,
97,Clobazam,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia",,
98,Nitrazepam,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia",,
99,Clonazepam,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia",,
100,Eszopiclone,Avoid,"Nonbenzodiazepine benzodiazepine receptor agonist hypnotics have adverse events similar to those of benzodiazepines in older adults (eg, delirium, falls, fractures); increased emergency room visits/hospitalizations; motor vehicle crashes; minimal improvement in sleep latency and duration",,
101,Zaleplon,Avoid,"Nonbenzodiazepine benzodiazepine receptor agonist hypnotics have adverse events similar to those of benzodiazepines in older adults (eg, delirium, falls, fractures); increased emergency room visits/hospitalizations; motor vehicle crashes; minimal improvement in sleep latency and duration",,
102,Zolpidem,Avoid,"Nonbenzodiazepine benzodiazepine receptor agonist hypnotics have adverse events similar to those of benzodiazepines in older adults (eg, delirium, falls, fractures); increased emergency room visits/hospitalizations; motor vehicle crashes; minimal improvement in sleep latency and duration",,
103,Ergoloid mesylates,Avoid,Lack of efficacy,,
104,Isoxsuprine,Avoid,Lack of efficacy,,
105,Methyltestosterone,Avoid unless diagnosed with hypogonadism with clinical symptoms,Potential for cardiac problems; contraindicated in men with prostate cancer,,
106,Testosterone,Avoid unless diagnosed with hypogonadism with clinical symptoms,Potential for cardiac problems; contraindicated in men with prostate cancer,,
107,Desiccated thyroid ,Avoid,Concerns about cardiac effects; safer alternatives available,,
108,Estradiol/Levonorgestrel,Avoid,"Evidence of carcinogenic potential (breast and endometrium); lack of cardioprotective effect and cognitive protection in older women.
Evidence indicates that vaginal estrogens for the treatment of vaginal dryness are safe and effective; women with a history of breast cancer who do not respond to nonhormonal therapies are advised to discuss the risks and benefits of low-dose vaginal estrogen (dosages of estradiol <25 μg twice weekly) with their healthcare provider",,
109,Estradiol/Northindrone Acetate,Avoid,"Evidence of carcinogenic potential (breast and endometrium); lack of cardioprotective effect and cognitive protection in older women.
Evidence indicates that vaginal estrogens for the treatment of vaginal dryness are safe and effective; women with a history of breast cancer who do not respond to nonhormonal therapies are advised to discuss the risks and benefits of low-dose vaginal estrogen (dosages of estradiol <25 μg twice weekly) with their healthcare provider",,
110,Estradiol/Drospirenone,Avoid,"Evidence of carcinogenic potential (breast and endometrium); lack of cardioprotective effect and cognitive protection in older women.
Evidence indicates that vaginal estrogens for the treatment of vaginal dryness are safe and effective; women with a history of breast cancer who do not respond to nonhormonal therapies are advised to discuss the risks and benefits of low-dose vaginal estrogen (dosages of estradiol <25 μg twice weekly) with their healthcare provider",,
111,Ospemifene,Avoid,"Evidence of carcinogenic potential (breast and endometrium); lack of cardioprotective effect and cognitive protection in older women.
Evidence indicates that vaginal estrogens for the treatment of vaginal dryness are safe and effective; women with a history of breast cancer who do not respond to nonhormonal therapies are advised to discuss the risks and benefits of low-dose vaginal estrogen (dosages of estradiol <25 μg twice weekly) with their healthcare provider",,
112,Estradiol/Norgestimate,Avoid,"Evidence of carcinogenic potential (breast and endometrium); lack of cardioprotective effect and cognitive protection in older women.
Evidence indicates that vaginal estrogens for the treatment of vaginal dryness are safe and effective; women with a history of breast cancer who do not respond to nonhormonal therapies are advised to discuss the risks and benefits of low-dose vaginal estrogen (dosages of estradiol <25 μg twice weekly) with their healthcare provider",,
113,Estrogen/Medroxyprogesterone,Avoid,"Evidence of carcinogenic potential (breast and endometrium); lack of cardioprotective effect and cognitive protection in older women.
Evidence indicates that vaginal estrogens for the treatment of vaginal dryness are safe and effective; women with a history of breast cancer who do not respond to nonhormonal therapies are advised to discuss the risks and benefits of low-dose vaginal estrogen (dosages of estradiol <25 μg twice weekly) with their healthcare provider",,
114,Estropipate,Avoid unless using intravaginally,"Evidence of carcinogenic potential (breast and endometrium); lack of cardioprotective effect and cognitive protection in older women.
Evidence indicates that vaginal estrogens for the treatment of vaginal dryness are safe and effective; women with a history of breast cancer who do not respond to nonhormonal therapies are advised to discuss the risks and benefits of low-dose vaginal estrogen (dosages of estradiol <25 μg twice weekly) with their healthcare provider",,
115,Estrogen,Avoid unless using intravaginally,"Evidence of carcinogenic potential (breast and endometrium); lack of cardioprotective effect and cognitive protection in older women.
Evidence indicates that vaginal estrogens for the treatment of vaginal dryness are safe and effective; women with a history of breast cancer who do not respond to nonhormonal therapies are advised to discuss the risks and benefits of low-dose vaginal estrogen (dosages of estradiol <25 μg twice weekly) with their healthcare provider",,
116,Estradiol,Avoid unless using intravaginally,"Evidence of carcinogenic potential (breast and endometrium); lack of cardioprotective effect and cognitive protection in older women.
Evidence indicates that vaginal estrogens for the treatment of vaginal dryness are safe and effective; women with a history of breast cancer who do not respond to nonhormonal therapies are advised to discuss the risks and benefits of low-dose vaginal estrogen (dosages of estradiol <25 μg twice weekly) with their healthcare provider",,
117,Growth Hormone,Avoid unless diagnosed with growth hormone deficiency due to established etiology,"Impact on body composition is small and associated with edema, arthralgia, carpal tunnel syndrome, gynecomastia, impaired fasting glucose",,
118,Insulin Lispro,Avoid unless using with concurrent long-acting insulin,"Higher risk of hypoglycemia without improvement in hyperglycemia management regardless of care setting
Avoid insulin regimens that include only short- or rapid-acting insulin dosed according to current blood glucose levels without concurrent use of basal or long-acting insulin. This recommendation does not apply to regimens that contain basal insulin or long-acting insulin",,
119,Insulin,Avoid unless using with concurrent long-acting insulin,"Higher risk of hypoglycemia without improvement in hyperglycemia management regardless of care setting
Avoid insulin regimens that include only short- or rapid-acting insulin dosed according to current blood glucose levels without concurrent use of basal or long-acting insulin. This recommendation does not apply to regimens that contain basal insulin or long-acting insulin",,
120,Insulin Aspart,Avoid unless using with concurrent long-acting insulin,"Higher risk of hypoglycemia without improvement in hyperglycemia management regardless of care setting
Avoid insulin regimens that include only short- or rapid-acting insulin dosed according to current blood glucose levels without concurrent use of basal or long-acting insulin. This recommendation does not apply to regimens that contain basal insulin or long-acting insulin",,
121,Insulin Glulisine,Avoid unless using with concurrent long-acting insulin,"Higher risk of hypoglycemia without improvement in hyperglycemia management regardless of care setting
Avoid insulin regimens that include only short- or rapid-acting insulin dosed according to current blood glucose levels without concurrent use of basal or long-acting insulin. This recommendation does not apply to regimens that contain basal insulin or long-acting insulin",,
122,Megestrol ,Avoid,Minimal effect on weight; increases risk of thrombotic events and possibly death in older adults,,
