Drug,Rationale,Recommendation
Torsemide,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
Amiloride Hydrochloride,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
Spironolactone,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
Triamterene,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
Acetazolamide,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
Methazolamide,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
Mirtazapine,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
Oxcarbazepine,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
Amitriptyline,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
Amoxapine,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
Clomipramine,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
Desipramine,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
Doxepin,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
Imipramine,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
Nortriptyline,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
Paroxetine,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
Protriptyline,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
Trimipramine,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
Citalopram,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
Escitalopram,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
Fluoxetine,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
Paroxetine,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
Sertraline,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
Desvenlafaxine,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
Duloxetine,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
Levomilnacipran,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
Milnacipran,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
Venlafaxine,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
Tramadol,May exacerbate or cause SIADH or hyponatremia; monitor sodium level closely when starting or changing dosages in older adults,Use with caution
Dextromethorphan/Quinidine,Limited efficacy in patients with behavioral symptoms of dementia (does not apply to treatment of PBA). May increase risk of falls and concerns with clinically significant drug interactions. Does not apply to treatment of pseudobulbar affect,Use with caution
"Trimethoprim-
sulfamethoxazole",Increased risk of hyperkalemia when used concurrently with an ACEI or ARB in presence of decreased creatinine clearance,Use with caution in patients on ACEI or ARB and decreased creatinine clearance
