,Condition,Recommendation,Rationale,ExStandardized
0,Heart failure with reduced ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",ETODOLAC
0,Heart failure with reduced ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",FENOPROFEN
0,Heart failure with reduced ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",IBUPROFEN
0,Heart failure with reduced ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",KETOPROFEN
0,Heart failure with reduced ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",MECLOFENAMIC ACID
0,Heart failure with reduced ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",MEFENAMIC ACID
0,Heart failure with reduced ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",MELOXICAM
0,Heart failure with reduced ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",NABUMETONE
0,Heart failure with reduced ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",NAPROXEN
0,Heart failure with reduced ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",OXAPROZIN
0,Heart failure with reduced ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",PIROXICAM
0,Heart failure with reduced ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",SULINDAC
0,Heart failure with reduced ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",TOLMETIN
0,Heart failure with reduced ejection fraction,Avoid,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, nondihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone)",CELECOXIB
0,"Heart failure with reduced ejection fraction, asymptomatic",Use with caution,Potential to promote fluid retention and/or exacerbate heart failure,PIOGLITAZONE
0,"Heart failure with reduced ejection fraction, asymptomatic",Use with caution,Potential to promote fluid retention and/or exacerbate heart failure,ROSIGLITAZONE
0,"Heart failure with reduced ejection fraction, asymptomatic",Use with caution,Potential to promote fluid retention and/or exacerbate heart failure,DRONEDARONE
0,"Heart failure with preserved ejection fraction, asymptomatic",Use with caution,Potential to promote fluid retention and/or exacerbate heart failure,PIOGLITAZONE
0,"Heart failure with preserved ejection fraction, asymptomatic",Use with caution,Potential to promote fluid retention and/or exacerbate heart failure,ROSIGLITAZONE
0,"Heart failure with preserved ejection fraction, asymptomatic",Use with caution,Potential to promote fluid retention and/or exacerbate heart failure,DRONEDARONE
0,Syncope,Avoid,AChEIs cause bradycardia and should be avoided in older adults whose syncope may be due to bradycardia. Nonselective peripheral alpha-1 blockers cause orthostatic blood pressure changes and should be avoided in older adults whose syncope may be due to orthostatic hypotension. Tertiary TCAs and the antipsychotics listed increase the risk of orthostatic hypotension or bradycardia,DONEPEZIL
0,Syncope,Avoid,AChEIs cause bradycardia and should be avoided in older adults whose syncope may be due to bradycardia. Nonselective peripheral alpha-1 blockers cause orthostatic blood pressure changes and should be avoided in older adults whose syncope may be due to orthostatic hypotension. Tertiary TCAs and the antipsychotics listed increase the risk of orthostatic hypotension or bradycardia,RIVASTIGMINE
0,Syncope,Avoid,AChEIs cause bradycardia and should be avoided in older adults whose syncope may be due to bradycardia. Nonselective peripheral alpha-1 blockers cause orthostatic blood pressure changes and should be avoided in older adults whose syncope may be due to orthostatic hypotension. Tertiary TCAs and the antipsychotics listed increase the risk of orthostatic hypotension or bradycardia,GALANTAMINE
0,Syncope,Avoid,AChEIs cause bradycardia and should be avoided in older adults whose syncope may be due to bradycardia. Nonselective peripheral alpha-1 blockers cause orthostatic blood pressure changes and should be avoided in older adults whose syncope may be due to orthostatic hypotension. Tertiary TCAs and the antipsychotics listed increase the risk of orthostatic hypotension or bradycardia,TACRINE
0,Syncope,Avoid,AChEIs cause bradycardia and should be avoided in older adults whose syncope may be due to bradycardia. Nonselective peripheral alpha-1 blockers cause orthostatic blood pressure changes and should be avoided in older adults whose syncope may be due to orthostatic hypotension. Tertiary TCAs and the antipsychotics listed increase the risk of orthostatic hypotension or bradycardia,DOXAZOSIN
0,Syncope,Avoid,AChEIs cause bradycardia and should be avoided in older adults whose syncope may be due to bradycardia. Nonselective peripheral alpha-1 blockers cause orthostatic blood pressure changes and should be avoided in older adults whose syncope may be due to orthostatic hypotension. Tertiary TCAs and the antipsychotics listed increase the risk of orthostatic hypotension or bradycardia,PRAZOSIN
0,Syncope,Avoid,AChEIs cause bradycardia and should be avoided in older adults whose syncope may be due to bradycardia. Nonselective peripheral alpha-1 blockers cause orthostatic blood pressure changes and should be avoided in older adults whose syncope may be due to orthostatic hypotension. Tertiary TCAs and the antipsychotics listed increase the risk of orthostatic hypotension or bradycardia,TERAZOSIN
0,Syncope,Avoid,AChEIs cause bradycardia and should be avoided in older adults whose syncope may be due to bradycardia. Nonselective peripheral alpha-1 blockers cause orthostatic blood pressure changes and should be avoided in older adults whose syncope may be due to orthostatic hypotension. Tertiary TCAs and the antipsychotics listed increase the risk of orthostatic hypotension or bradycardia,AMITRIPTYLINE
0,Syncope,Avoid,AChEIs cause bradycardia and should be avoided in older adults whose syncope may be due to bradycardia. Nonselective peripheral alpha-1 blockers cause orthostatic blood pressure changes and should be avoided in older adults whose syncope may be due to orthostatic hypotension. Tertiary TCAs and the antipsychotics listed increase the risk of orthostatic hypotension or bradycardia,IMIPRAMINE
0,Syncope,Avoid,AChEIs cause bradycardia and should be avoided in older adults whose syncope may be due to bradycardia. Nonselective peripheral alpha-1 blockers cause orthostatic blood pressure changes and should be avoided in older adults whose syncope may be due to orthostatic hypotension. Tertiary TCAs and the antipsychotics listed increase the risk of orthostatic hypotension or bradycardia,CLOMIPRAMINE
0,Syncope,Avoid,AChEIs cause bradycardia and should be avoided in older adults whose syncope may be due to bradycardia. Nonselective peripheral alpha-1 blockers cause orthostatic blood pressure changes and should be avoided in older adults whose syncope may be due to orthostatic hypotension. Tertiary TCAs and the antipsychotics listed increase the risk of orthostatic hypotension or bradycardia,TRIMIPRAMINE
0,Syncope,Avoid,AChEIs cause bradycardia and should be avoided in older adults whose syncope may be due to bradycardia. Nonselective peripheral alpha-1 blockers cause orthostatic blood pressure changes and should be avoided in older adults whose syncope may be due to orthostatic hypotension. Tertiary TCAs and the antipsychotics listed increase the risk of orthostatic hypotension or bradycardia,DOXEPIN
0,Syncope,Avoid,AChEIs cause bradycardia and should be avoided in older adults whose syncope may be due to bradycardia. Nonselective peripheral alpha-1 blockers cause orthostatic blood pressure changes and should be avoided in older adults whose syncope may be due to orthostatic hypotension. Tertiary TCAs and the antipsychotics listed increase the risk of orthostatic hypotension or bradycardia,CHLORPROMAZINE
0,Syncope,Avoid,AChEIs cause bradycardia and should be avoided in older adults whose syncope may be due to bradycardia. Nonselective peripheral alpha-1 blockers cause orthostatic blood pressure changes and should be avoided in older adults whose syncope may be due to orthostatic hypotension. Tertiary TCAs and the antipsychotics listed increase the risk of orthostatic hypotension or bradycardia,THIORIDAZINE
0,Syncope,Avoid,AChEIs cause bradycardia and should be avoided in older adults whose syncope may be due to bradycardia. Nonselective peripheral alpha-1 blockers cause orthostatic blood pressure changes and should be avoided in older adults whose syncope may be due to orthostatic hypotension. Tertiary TCAs and the antipsychotics listed increase the risk of orthostatic hypotension or bradycardia,OLANZAPINE
0,Delirium,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",DISOPYRAMIDE
0,Delirium,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",MEPYRAMINE
0,Delirium,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",TRIPROLIDINE
0,Delirium,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",AMITRIPTYLINE
0,Delirium,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",AMOXAPINE
0,Delirium,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",CLOMIPRAMINE
0,Delirium,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",DESIPRAMINE
0,Delirium,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",DOXEPIN
0,Delirium,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",DARIFENACIN
0,Delirium,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",IMIPRAMINE
0,Delirium,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",FESOTERODINE
0,Delirium,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",NORTRIPTYLINE
0,Delirium,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",FLAVOXATE
0,Delirium,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",PAROXETINE
0,Delirium,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",OXYBUTYNIN
0,Delirium,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",PROTRIPTYLINE
0,Delirium,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",SOLIFENACIN
0,Delirium,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",TRIMIPRAMINE
0,Delirium,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",TOLTERODINE
0,Delirium,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",TROSPIUM
0,Delirium,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",PROCHLORPERAZINE
0,Delirium,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",PROMETHAZINE
0,Delirium,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",BENZATROPINE
0,Delirium,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",TRIHEXYPHENIDYL
0,Delirium,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",BROMPHENIRAMINE
0,Delirium,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",CARBINOXAMINE
0,Delirium,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",CHLORPROMAZINE
0,Delirium,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",CHLORPHENIRAMINE
0,Delirium,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",CLOZAPINE
0,Delirium,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",CLEMASTINE
0,Delirium,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",CYPROHEPTADINE
0,Delirium,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",OLANZAPINE
0,Delirium,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",DEXBROMPHENIRAMINE
0,Delirium,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",CHLORPHENIRAMINE
0,Delirium,Avoid,"Avoid in older adults with or at high risk of delirium because of potential of inducing or worsening delirium.
Avoid antipsychotics for behavioral problems of dementia and/or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others. Antipsychotics are associated with greater risk of cerebrovascular accident (stroke) and mortality in persons with dementia.",THIORIDAZINE
