Drug,Recommendation,Rationale
Meclizine,Avoid,"Highly anticholinergic; clearance reduced with advanced age, and tolerance develops when used as hypnotic; risk of confusion, dry mouth, constipation, and other anticholinergic effects or toxicity"
Promethazine,Avoid,"Highly anticholinergic; clearance reduced with advanced age, and tolerance develops when used as hypnotic; risk of confusion, dry mouth, constipation, and other anticholinergic effects or toxicity"
Pyrilamine,Avoid,"Highly anticholinergic; clearance reduced with advanced age, and tolerance develops when used as hypnotic; risk of confusion, dry mouth, constipation, and other anticholinergic effects or toxicity"
Triprolidine,Avoid,"Highly anticholinergic; clearance reduced with advanced age, and tolerance develops when used as hypnotic; risk of confusion, dry mouth, constipation, and other anticholinergic effects or toxicity"
Benztropine (oral),Avoid,Not recommended for prevention or treatment of extrapyramidal symptoms with antipsychotics; more effective agents available for treatment of Parkinson disease
Trihexyphenidyl,Avoid,Not recommended for prevention or treatment of extrapyramidal symptoms with antipsychotics; more effective agents available for treatment of Parkinson disease
Atropine (excludes ophthalmic),Avoid,"Highly anticholinergic, uncertain effectivenes"
Belladonna alkaloids,Avoid,"Highly anticholinergic, uncertain effectivenes"
Ipratropium,Avoid,"Highly anticholinergic, uncertain effectivenes"
Hyoscyamine,Avoid,"Highly anticholinergic, uncertain effectivenes"
Scopolamine,Avoid,"Highly anticholinergic, uncertain effectivenes"
Hyoscine,Avoid,"Highly anticholinergic, uncertain effectivenes"
Fentonium,Avoid,"Highly anticholinergic, uncertain effectivenes"
Methylatropine,Avoid,"Highly anticholinergic, uncertain effectivenes"
Butropium,Avoid,"Highly anticholinergic, uncertain effectivenes"
Clidinium/Chlordiazepoxide,Avoid,"Highly anticholinergic, uncertain effectivenes"
Dicyclomine/Homatropine (excludes opthalmic),Avoid,"Highly anticholinergic, uncertain effectivenes"
Methscopolamine,Avoid,"Highly anticholinergic, uncertain effectivenes"
Propantheline,Avoid,"Highly anticholinergic, uncertain effectivenes"
"Dipyridamole, oral short acting",Avoid. Does not apply to the extended-release combination with aspirin,May cause orthostatic hypotension; more effective alternatives available; IV form acceptable for use in cardiac stress testing
Nitrofurantoin ,Avoid if creatinine clearance <30mL/min or for long-term suppression,"Potential for pulmonary toxicity, hepatoxicity, and peripheral neuropathy, especially with long-term use; safer alternatives available"
Doxazosin,Avoid if used to treat high blood pressure,"High risk of orthostatic hypotension and associated harms, especially in older adults; not recommended as routine treatment for hypertension; alternative agents have superior risk/benefit profile"
Prazosin,Avoid if used to treat high blood pressure,"High risk of orthostatic hypotension and associated harms, especially in older adults; not recommended as routine treatment for hypertension; alternative agents have superior risk/benefit profile"
Terazosin,Avoid if used to treat high blood pressure,"High risk of orthostatic hypotension and associated harms, especially in older adults; not recommended as routine treatment for hypertension; alternative agents have superior risk/benefit profile"
Clonidine,Avoid as a first-line treatment for high blood pressure,High risk of adverse CNS effects; may cause bradycardia and orthostatic hypotension; not recommended as routine treatment for hypertension
Guanabenz,Avoid,High risk of adverse CNS effects; may cause bradycardia and orthostatic hypotension; not recommended as routine treatment for hypertension
Guanfacine,Avoid,High risk of adverse CNS effects; may cause bradycardia and orthostatic hypotension; not recommended as routine treatment for hypertension
Methyldopa,Avoid,High risk of adverse CNS effects; may cause bradycardia and orthostatic hypotension; not recommended as routine treatment for hypertension
Reserpine (>0.1 mg/day),Avoid,High risk of adverse CNS effects; may cause bradycardia and orthostatic hypotension; not recommended as routine treatment for hypertension
Disopyramide,Avoid,May induce heart failure in older adults because of potent negative inotropic action; strongly anticholinergic; other antiarrhythmic drugs preferred
Dronedarone,Avoid if diagnosed with atrial fibrillation or severe or recently decompensated heart failure,Worse outcomes have been reported in patients taking dronedarone who have permanent atrial fibrillation or severe or recently decompensated heart failure
Digoxin,"Avoid as a first-line treatment for atrial fibrillation or heart failure. If used as treatment for atrial fibrillation or heart failure, avoid dosages >0.125 mg/day","Use in atrial fibrillation: should not be used as a first-line agent in atrial fibrillation, because there are safer and more effective alternatives for rate control supported by
high-quality evidence
Use in heart failure: evidence for benefits and harms of digoxin is conflicting and of lower quality; most but not all of the evidence concerns use in HFrEF. There is strong evidence for other agents as first-line therapy to reduce hospitalizations and mortality in adults with HFrEF. In heart failure, higher dosages are not associated with additional benefit and may increase risk of toxicity. Decreased renal clearance of digoxin may lead to increased risk of toxic effects; further dose reduction may be necessary in those with stage 4 or 5 chronic kidney disease"
Nifedipine (immediate release),Avoid,Potential for hypotension; risk of precipitating myocardial ischemia
Amiodarone,Avoid as first-line therapy for atrial fibrillation unless diagnosed with heart failure or substantial left ventricular hypertrophy,Effective for maintaining sinus rhythm but has greater toxicities than other antiarrhythmics used in atrial fibrillation; may be reasonable first-line therapy in patients with concomitant heart failure or substantial left ventricular hypertrophy if rhythm control is preferred over rate control
Amitriptyline,Avoid,"Highly anticholinergic, sedating, and cause orthostatic hypotension"
Amoxapine,Avoid,"Highly anticholinergic, sedating, and cause orthostatic hypotension"
Clomipramine,Avoid,"Highly anticholinergic, sedating, and cause orthostatic hypotension"
Desipramine,Avoid,"Highly anticholinergic, sedating, and cause orthostatic hypotension"
Doxepin (>6 mg/day),Avoid,"Highly anticholinergic, sedating, and cause orthostatic hypotension; safety profile of low-dose doxepin (≤6 mg/day) comparable to that of placebo"
Imipramine,Avoid,"Highly anticholinergic, sedating, and cause orthostatic hypotension"
Nortriptyline,Avoid,"Highly anticholinergic, sedating, and cause orthostatic hypotension"
Paroxetine,Avoid,"Highly anticholinergic, sedating, and cause orthostatic hypotension"
Protriptyline,Avoid,"Highly anticholinergic, sedating, and cause orthostatic hypotension"
Trimipramine,Avoid,"Highly anticholinergic, sedating, and cause orthostatic hypotension"
Chlorpromazine,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others"
Droperidol,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others"
Fluphenazine,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others"
Haloperidol,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others"
Loxapine,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others"
Perphenazine,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others"
Pimozide,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others"
Prochlorperazine,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others"
Thioridazine,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others"
Thiothixene,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others"
Trifluoperazine,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others"
Aripiprazole,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others"
Asenapine,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others"
Clozapine,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others"
Iloperidone,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others"
Lurasidone,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others"
Olanzapine,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others"
Paliperidone,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others"
Quetiapine,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others"
Risperidone,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others"
Ziprasidone,"Avoid unless used for schizophrenia, bipolar disorder, or as a short-term antiemetic during chemotherapy","Increased risk of cerebrovascular accident (stroke) and greater rate of cognitive decline and mortality in persons with dementia. Avoid antipsychotics for behavioral problems of dementia or delirium unless nonpharmacological options (eg, behavioral interventions) have failed or are not possible and the older adult is threatening substantial harm to self or others"
Amobarbital,Avoid,"High rate of physical dependence, tolerance to sleep benefits, greater risk of overdose at low dosages"
Butabarbital,Avoid,"High rate of physical dependence, tolerance to sleep benefits, greater risk of overdose at low dosages"
Butalbital,Avoid,"High rate of physical dependence, tolerance to sleep benefits, greater risk of overdose at low dosages"
Mephobarbital,Avoid,"High rate of physical dependence, tolerance to sleep benefits, greater risk of overdose at low dosages"
Pentobarbital,Avoid,"High rate of physical dependence, tolerance to sleep benefits, greater risk of overdose at low dosages"
Phenobarbital,Avoid,"High rate of physical dependence, tolerance to sleep benefits, greater risk of overdose at low dosages"
Secobarbital,Avoid,"High rate of physical dependence, tolerance to sleep benefits, greater risk of overdose at low dosages"
Alprazolam,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia"
Estazolam,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia"
Lorazepam,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia"
Oxazepam,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia"
Temazepam,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia"
Triazolam,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia"
Chlordiazepoxide,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia"
Clonazepam,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia"
Clorazepate,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia"
Diazepam,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia"
Flurazepam,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia"
Quazepam,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia"
Meprobamate,Avoid,High rate of physical dependence; sedating
Bromazepam,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia"
Clobazam,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia"
Nitrazepam,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia"
Clonazepam,Avoid,"Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; in general, all benzodiazepines increase risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults
May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia"
Eszopiclone,Avoid,"Nonbenzodiazepine benzodiazepine receptor agonist hypnotics have adverse events similar to those of benzodiazepines in older adults (eg, delirium, falls, fractures); increased emergency room visits/hospitalizations; motor vehicle crashes; minimal improvement in sleep latency and duration"
Zaleplon,Avoid,"Nonbenzodiazepine benzodiazepine receptor agonist hypnotics have adverse events similar to those of benzodiazepines in older adults (eg, delirium, falls, fractures); increased emergency room visits/hospitalizations; motor vehicle crashes; minimal improvement in sleep latency and duration"
Zolpidem,Avoid,"Nonbenzodiazepine benzodiazepine receptor agonist hypnotics have adverse events similar to those of benzodiazepines in older adults (eg, delirium, falls, fractures); increased emergency room visits/hospitalizations; motor vehicle crashes; minimal improvement in sleep latency and duration"
Ergoloid mesylates,Avoid,Lack of efficacy
Isoxsuprine,Avoid,Lack of efficacy
Methyltestosterone,Avoid unless diagnosed with hypogonadism with clinical symptoms,Potential for cardiac problems; contraindicated in men with prostate cancer
Testosterone,Avoid unless diagnosed with hypogonadism with clinical symptoms,Potential for cardiac problems; contraindicated in men with prostate cancer
Desiccated thyroid ,Avoid,Concerns about cardiac effects; safer alternatives available
Estradiol/Levonorgestrel,Avoid,"Evidence of carcinogenic potential (breast and endometrium); lack of cardioprotective effect and cognitive protection in older women.
Evidence indicates that vaginal estrogens for the treatment of vaginal dryness are safe and effective; women with a history of breast cancer who do not respond to nonhormonal therapies are advised to discuss the risks and benefits of low-dose vaginal estrogen (dosages of estradiol <25 μg twice weekly) with their healthcare provider"
Estradiol/Northindrone Acetate,Avoid,"Evidence of carcinogenic potential (breast and endometrium); lack of cardioprotective effect and cognitive protection in older women.
Evidence indicates that vaginal estrogens for the treatment of vaginal dryness are safe and effective; women with a history of breast cancer who do not respond to nonhormonal therapies are advised to discuss the risks and benefits of low-dose vaginal estrogen (dosages of estradiol <25 μg twice weekly) with their healthcare provider"
Estradiol/Drospirenone,Avoid,"Evidence of carcinogenic potential (breast and endometrium); lack of cardioprotective effect and cognitive protection in older women.
Evidence indicates that vaginal estrogens for the treatment of vaginal dryness are safe and effective; women with a history of breast cancer who do not respond to nonhormonal therapies are advised to discuss the risks and benefits of low-dose vaginal estrogen (dosages of estradiol <25 μg twice weekly) with their healthcare provider"
Ospemifene,Avoid,"Evidence of carcinogenic potential (breast and endometrium); lack of cardioprotective effect and cognitive protection in older women.
Evidence indicates that vaginal estrogens for the treatment of vaginal dryness are safe and effective; women with a history of breast cancer who do not respond to nonhormonal therapies are advised to discuss the risks and benefits of low-dose vaginal estrogen (dosages of estradiol <25 μg twice weekly) with their healthcare provider"
Estradiol/Norgestimate,Avoid,"Evidence of carcinogenic potential (breast and endometrium); lack of cardioprotective effect and cognitive protection in older women.
Evidence indicates that vaginal estrogens for the treatment of vaginal dryness are safe and effective; women with a history of breast cancer who do not respond to nonhormonal therapies are advised to discuss the risks and benefits of low-dose vaginal estrogen (dosages of estradiol <25 μg twice weekly) with their healthcare provider"
Estrogen/Medroxyprogesterone,Avoid,"Evidence of carcinogenic potential (breast and endometrium); lack of cardioprotective effect and cognitive protection in older women.
Evidence indicates that vaginal estrogens for the treatment of vaginal dryness are safe and effective; women with a history of breast cancer who do not respond to nonhormonal therapies are advised to discuss the risks and benefits of low-dose vaginal estrogen (dosages of estradiol <25 μg twice weekly) with their healthcare provider"
Estropipate,Avoid unless using intravaginally,"Evidence of carcinogenic potential (breast and endometrium); lack of cardioprotective effect and cognitive protection in older women.
Evidence indicates that vaginal estrogens for the treatment of vaginal dryness are safe and effective; women with a history of breast cancer who do not respond to nonhormonal therapies are advised to discuss the risks and benefits of low-dose vaginal estrogen (dosages of estradiol <25 μg twice weekly) with their healthcare provider"
Estrogen,Avoid unless using intravaginally,"Evidence of carcinogenic potential (breast and endometrium); lack of cardioprotective effect and cognitive protection in older women.
Evidence indicates that vaginal estrogens for the treatment of vaginal dryness are safe and effective; women with a history of breast cancer who do not respond to nonhormonal therapies are advised to discuss the risks and benefits of low-dose vaginal estrogen (dosages of estradiol <25 μg twice weekly) with their healthcare provider"
Estradiol,Avoid unless using intravaginally,"Evidence of carcinogenic potential (breast and endometrium); lack of cardioprotective effect and cognitive protection in older women.
Evidence indicates that vaginal estrogens for the treatment of vaginal dryness are safe and effective; women with a history of breast cancer who do not respond to nonhormonal therapies are advised to discuss the risks and benefits of low-dose vaginal estrogen (dosages of estradiol <25 μg twice weekly) with their healthcare provider"
Growth Hormone,Avoid unless diagnosed with growth hormone deficiency due to established etiology,"Impact on body composition is small and associated with edema, arthralgia, carpal tunnel syndrome, gynecomastia, impaired fasting glucose"
Insulin Lispro,Avoid unless using with concurrent long-acting insulin,"Higher risk of hypoglycemia without improvement in hyperglycemia management regardless of care setting
Avoid insulin regimens that include only short- or rapid-acting insulin dosed according to current blood glucose levels without concurrent use of basal or long-acting insulin. This recommendation does not apply to regimens that contain basal insulin or long-acting insulin"
Insulin,Avoid unless using with concurrent long-acting insulin,"Higher risk of hypoglycemia without improvement in hyperglycemia management regardless of care setting
Avoid insulin regimens that include only short- or rapid-acting insulin dosed according to current blood glucose levels without concurrent use of basal or long-acting insulin. This recommendation does not apply to regimens that contain basal insulin or long-acting insulin"
Insulin Aspart,Avoid unless using with concurrent long-acting insulin,"Higher risk of hypoglycemia without improvement in hyperglycemia management regardless of care setting
Avoid insulin regimens that include only short- or rapid-acting insulin dosed according to current blood glucose levels without concurrent use of basal or long-acting insulin. This recommendation does not apply to regimens that contain basal insulin or long-acting insulin"
Insulin Glulisine,Avoid unless using with concurrent long-acting insulin,"Higher risk of hypoglycemia without improvement in hyperglycemia management regardless of care setting
Avoid insulin regimens that include only short- or rapid-acting insulin dosed according to current blood glucose levels without concurrent use of basal or long-acting insulin. This recommendation does not apply to regimens that contain basal insulin or long-acting insulin"
Megestrol ,Avoid,Minimal effect on weight; increases risk of thrombotic events and possibly death in older adults
Chlorpropamide,Avoid,Prolonged half-life in older adults; can cause prolonged hypoglycemia; causes SIADH
Glimepiride,Avoid,Higher risk of severe prolonged hypoglycemia in older adults
Glibenclamide,Avoid,Higher risk of severe prolonged hypoglycemia in older adults
Glyburide,Avoid,Higher risk of severe prolonged hypoglycemia in older adults
Metoclopramide,Avoid unless used for gastroparesis (use not to exceed 12 weeks),"Can cause extrapyramidal effects, including tardive dyskinesia; risk may be greater in frail older adults and with prolonged exposure"
Mineral oil (oral),Avoid,Potential for aspiration and adverse effects; safer alternatives available
